time[ms],T[°C],hum[%],IAQ[\]
3.869000, 17.28, 42.0, 25.0
4.829000, 17.27, 42.0, 25.0
5.831000, 17.28, 42.0, 25.0
6.836000, 17.28, 42.0, 25.0
7.827000, 17.28, 42.0, 25.0
8.831000, 17.28, 42.0, 25.0
9.839000, 17.28, 42.0, 25.0
10.84400, 17.29, 42.0, 25.0
11.84700, 17.29, 42.0, 25.0
12.85200, 17.29, 42.0, 25.0
13.85900, 17.29, 42.0, 25.0
14.86100, 17.29, 42.0, 25.0
15.86900, 17.29, 42.0, 25.0
16.87400, 17.29, 42.0, 25.0
17.86500, 17.29, 42.0, 25.0
18.86900, 17.29, 42.0, 25.0
19.87500, 17.29, 42.0, 25.0
20.88000, 17.29, 42.0, 25.0
21.86800, 17.28, 42.0, 25.0
22.87100, 17.29, 42.0, 25.0
23.88000, 17.29, 42.0, 25.0
24.88400, 17.29, 42.0, 25.0
25.88900, 17.29, 42.0, 25.0
26.89400, 17.3, 42.0, 25.0
27.89900, 17.3, 42.0, 25.0
28.90400, 17.31, 42.0, 25.0
29.90700, 17.31, 42.0, 25.0
30.91400, 17.31, 42.0, 25.0
31.91900, 17.32, 42.0, 25.0
32.92300, 17.32, 42.0, 25.0
33.91200, 17.32, 42.0, 25.0
34.91900, 17.32, 42.0, 25.0
35.92400, 17.32, 42.0, 25.0
36.92900, 17.32, 42.0, 25.0
37.93400, 17.32, 42.0, 25.0
